name,screen_name,followers_count,friends_count,post_count,lang,location,default_profile_image,profile_use_background_image,verified,description,created_at,label,has_location,location_clean,is_real_location
51Talk,51TalkPH,5204.0,367.0,3542.0,en,,False,True,False,"51Talk, an NYSE listed company, is the leading online English education platform in China and in the Philippines. Work with us today: https://t.co/B4WLA6GYPA",22-09-2012 12:50,0,0,,
Melissa • WDW,ASummerTide,10284.0,10428.0,13675.0,en,New Zealand,False,True,False,"2/5 of WDW, 4/5 of ND, 2/3 of NHC, 5/4 of TT, 4/4 of ASH, 3/4 of 5SOS & 3/4 TV. Justin Bieber, Crawford & Christian Collins. #Tider & #ASHerfam",14-05-2010 04:08,0,1,new zealand,True
teigan,teigan_aitken,642.0,801.0,6876.0,en-gb,,False,True,False,Usuario no entregó descripción de perfil,19-01-2014 10:38,0,0,,
Tiffany,Tenisestarr,333.0,441.0,14170.0,en,"Bay Area, CA",False,True,False,Usuario no entregó descripción de perfil,11-12-2010 02:33,0,1,"bay area, ca",True
Ross,7820blackrose,2155.0,205.0,92178.0,en,Twitter World,False,True,False,"FEARLESS ! 
Wag mag follow nakakamatay! My Twitter , My Opinion.",17-09-2011 14:42,0,1,twitter world,False
Rosario Wolf,RosarioHackshaw,1953.0,987.0,87133.0,en,,False,True,False,Usuario no entregó descripción de perfil,02-07-2009 01:48,0,0,,
Susieee💖,918Susie,271.0,172.0,8304.0,en,,False,True,False,💕,09-08-2013 05:43,0,0,,
मोगू,9_t_8,2343.0,134.0,19989.0,en,Kolkata ,False,True,False,Collecting Happiness,29-06-2011 04:44,0,1,kolkata,True
Adedamus,A1_Ade,456.0,258.0,27031.0,en,,False,True,False,Stay Gold EFIL4AGGIN,20-05-2012 19:09,0,0,,
Aris,AA12YT,29992.0,308.0,5328.0,en,United States,False,False,False,"YouTuber | 300,000+ amazing subscribers | aa12businessonly@gmail.com",31-03-2014 03:47,0,1,united states,True
Angelo,gleenonseagal,110.0,90.0,4862.0,en,,False,True,False,Phoebe Buffay stan,31-01-2014 07:42,0,0,,
Abid,AB_Ali714,18029.0,1845.0,335699.0,en,,False,False,False,Keep it Simple!,08-03-2011 06:40,0,0,,
Casti,ACastiella,336.0,448.0,12810.0,es,Calahorra-Bilbao,False,True,False,"A ver como explicas tú, que trabajando en el Pentágono, no trabajas en un polígono...",13-12-2010 21:40,0,1,calahorrabilbao,False
Desastres Naturales,Desastres_ADN,1333.0,173.0,127031.0,es,,False,True,False,"Monitor de fenómenos perturbadores. Sismos, Volcanes, Tsunamis y Huracanes. Facebook Alertamientos Desastres Naturales.",14-02-2012 23:42,0,0,,
A∂▲❍▼,AJCertified1,865.0,792.0,16938.0,en,Land of the Unknown,False,True,False,Instagram:AJCertified1,14-07-2009 00:55,0,1,land of the unknown,False
Nancy DeWitt,IdahoLark,3865.0,3106.0,38608.0,en,"Boise, ID",False,True,False,"Birder, naturalist, raptor wrangler, writer and blue bird living in a red state. Fourth-generation Idahoan back in Boise after 24 years in Alaska.",25-10-2009 23:46,0,1,"boise, id",True
✂ PU$$Y BRAINS 💈,ANDRESOHYES,574.0,314.0,116851.0,en, coachella valley,False,True,False,Usuario no entregó descripción de perfil,13-07-2010 16:21,0,1,coachella valley,True
HUGO ARRIAGA,ARHG66,13.0,130.0,92.0,en,,False,True,False,Usuario no entregó descripción de perfil,03-12-2010 00:18,0,0,,
T,Tzap_5,220.0,204.0,1828.0,en,TRISTAN ZAPATA-PULIDO ,False,True,False,JFK BASKETBALL #5,09-09-2014 00:24,0,1,tristan zapatapulido,False
alberto tankredi,ATankredi,434.0,495.0,10008.0,es,somewhere in  ?,False,True,False,women girls-I live for them,16-05-2014 00:00,0,1,somewhere in,True
Femi™,AYODELE7,77.0,83.0,422.0,en,Trinidad and Tobago,False,True,False,"#God #ManUtd #FOLO  if your going to be weird, be confident about it :D",29-08-2009 23:29,0,1,trinidad and tobago,True
Abdullah Al-Ruwaieh,A_AlRuwaieh,44.0,50.0,1628.0,en,Pangaea Ultima,False,True,False,A minimalist realist who likes tea.,18-08-2011 21:01,0,1,pangaea ultima,False
Anna,A_Hamm5,788.0,469.0,39402.0,en,10-06-2013,False,True,False,#BF5 A wild thing may say some wild things. -The Crucible,07-12-2011 00:09,0,1,,False
jan aaron 💤,AaaronPogiii,1078.0,395.0,50865.0,en,andrea brillantes,False,True,False,"spiders ain't welcome; 08-07-16


👻 aaaronpogiii | 355786913",02-02-2013 02:51,0,1,andrea brillantes,False
Agnivo Niyogi,Aagan86,9500.0,510.0,311347.0,en,Kolkata-Jalpaiguri,False,True,True,"Typical Aantel, reader, blogger, news addict, opinionated. Digital media enthusiast. Didi fanboi. Joy Bangla!",03-05-2009 12:17,0,1,kolkatajalpaiguri,False
Aankhi Ghosh,AankhiGM,1074.0,102.0,21580.0,en,Kolkata/Delhi/Pune,False,True,False,"Law, Dogs and Karma. Supreme Court of India/Calcutta High Court.",07-02-2010 23:56,0,1,kolkatadelhipune,False
Aashish Salotra,Aashu_Salotra,500.0,185.0,14526.0,en,Chandigarh,False,True,False,"Manchester United fan. #admin at @InsideManUtd / https://t.co/Wq8P122v21. aashu_salotra on #Instagram. #MBA, Panjab University. #MUFC.",27-10-2010 17:57,0,1,chandigarh,True
Abdulla𓅓,Abbdulla_,591.0,305.0,23740.0,en,"Tempe, AZ",False,True,False,Usuario no entregó descripción de perfil,04-08-2011 10:45,0,1,"tempe, az",True
Abijah Gupta 🎹,AbijahGupta,3645.0,59.0,3816.0,en,"Edmonton, Alberta",False,True,False,"I enjoy Pizza, movies, softwares and casual photography. I blog about my music, iOS music apps, Digital Audio Workstations and other tips & tricks.",06-03-2013 08:50,0,1,"edmonton, alberta",True
AUTOBUNNIES,Abikikime,186.0,284.0,6057.0,en,,False,True,False,I believe that visualization is one of the most powerful means in achieving personal goals.,05-07-2011 04:34,0,0,,
Kenneth J. McCormick,TruthFactsNet,34.0,36.0,3841.0,en,,False,False,False,"I am the webmaster of https://t.co/UAbCI4n5Pd Internet magazine.(formerly About Facts Net) where all articles, photos and drawings are free to use",09-04-2010 03:07,0,0,,
josi,AbramxJosiah,238.0,290.0,4625.0,en,,False,True,False,| OKC/Dallas | Music is life |,31-05-2010 08:46,0,0,,
Abubaker Alzuaree,Abubakerrr1,732.0,642.0,45369.0,en,"Yemen, Aden",False,True,False,"DO YOU EVEN LIFT BRO?                                   

#LakerNation
#Kobe
#DLoading",20-11-2009 06:48,0,1,"yemen, aden",True
Acy,Acy_Canono23,308.0,412.0,512.0,en-gb,"California,Venice",False,True,False,Romans 116 Bruh!!!,14-12-2013 00:59,0,1,"california,venice",True
FURL.,Adam_Loko116,1134.0,810.0,56567.0,en,With your Girl,False,True,False,"TN DMK ♊ RosePark 
instagram: Adam_loko116 
Rest In Paradise Daniel F , Quis Boy, Cuma & Renzo",29-07-2011 02:54,0,1,with your girl,False
Addie Dupont,Addie_bo_baddie,154.0,77.0,3859.0,en,,False,True,False,Don't be a drag; just be a queen,25-02-2014 02:47,0,0,,
Adityo Hassan,AdityoHassan,1588.0,1859.0,3779.0,en,~Dhaka~Bangladesh~,False,False,False,Trainee pilot at Galaxy Flight Academy. Love #flying #bodybuilding #leadership #music #book.,21-03-2014 01:12,0,1,dhakabangladesh,False
IG: @adralicious,Adralicious,1414.0,1349.0,8582.0,en,,False,True,False,"#Healthcare, #Vintage Stuff, #Fashion & #Makeup but don't forget the #KrispyKreme doughnuts IG:@Adralicious #Charleston #Atlanta #Houston #LA",17-04-2009 17:44,0,0,,
Rakan ~ UR Jinx,AdriUmbreon,319.0,263.0,12875.0,es,Hyrule - Johto,False,False,False,"Umbreon Lvl 23. Retrogamer. Crío Chocoritas. It's Dangerous to go alone. Wisdom - Power - Courage. Sábados de porros con @espormaldad , donuts y vicio al LoL.",26-02-2014 15:03,0,1,hyrule  johto,False
❌ ALACRANSITO ❌,Adrianaldo_,264.0,361.0,11352.0,es,Al sur de Madrid,False,True,False,"Follow your dreams (CANCELLED)▶▶Go to work, obey the law, walk on the pavements, save for old age...then repeat with me: I´m free",29-02-2012 21:16,0,1,al sur de madrid,True
Raja,Advcate007,2252.0,1432.0,70222.0,en,"Islamabad , AL-BAKHISTAN.",False,True,False,"لاإله الا الله محمدرسول اللهﷺ i hate Bio, bcz i am Lawyer & CJP IA. bs itna bht hai ab Follow kr lo Follow back mil jai ga.#CssToperIA #Travellin #LongDrive",31-10-2009 17:11,0,1,"islamabad , albakhistan",False
أفنـ)ـان الكـندري,AfnanAK,732.0,452.0,25817.0,en,Kuwait ♥,False,True,False,"‏‏‏...RBS Grad '11/5th year Dental student-KU 6ebeya ♥ الطبيــ)ــة...

اللهم ارحم يعقوب الكندري واجمعنا معه في فردوسك الأعلى من الجنة",10-02-2011 16:50,0,1,kuwait,True
Däve Agee,AgeeWx,411.0,977.0,16726.0,en,"Grand Forks, ND",False,True,False,I make beer for Rhombus Guys Brewing Company. Professional dog pillow. Bluegrass aficionado. Wannabe BBQ Champion. Retired meteorologist.,14-01-2011 06:27,0,1,"grand forks, nd",True
Aggi O'Sullivan,AggiOSullivan,111.0,110.0,3826.0,en,Southsea,False,True,False,Portsmouth Uni.,13-09-2010 18:30,0,1,southsea,True
Jordan Y. Melecio™,AgyapasJordan,485.0,618.0,3739.0,en,"16.383548,120.574871",False,True,False,#Technology & World #Watchdog. #FilipinoPatriot. #Igorot #Headhunter. Damaged Soul that Death Refuses 2 Harvest. Sponge 4 #CoolMusic & Missing De_v_na  La_r_n.,24-04-2013 05:45,0,1,",",False
SIR WEE,AhmadWaleed4568,473.0,88.0,10986.0,en,,False,True,False,"A photographer a lawyer and a part time cricket player and sometimes i try to be funny too and a Liverpool supporter
S.C=waleed4568",14-10-2013 14:49,0,0,,
Jordan✌Clark,AirJordan136,1204.0,1412.0,20956.0,en,"Steele, Mo",False,True,False,"21 years young, AKA:Swagdaddy. Heat, Dolphins, Cardinals, @StephenCurry30, @ArianaGrande, @ChloeGMoretz, @iambeckyg, @EmmaWWE and @WWE fan!! Student at SEMO.",25-01-2012 18:10,0,1,"steele, mo",True
AKHEEM,AkheemV,576.0,482.0,105562.0,en,The office,False,True,False,"Fire breathing , Air needing, water dwelling , Of  earth",23-04-2013 01:32,0,1,the office,True
Akhtarul Iman,Akhtarul_Iman,176.0,423.0,996.0,en,India,False,True,False,Business man & Social worker but till date no connection with any political party.,13-08-2010 10:53,0,1,india,True
A,AlZahraaokay,632.0,190.0,20336.0,en,Inbetween🇴🇲/🇺🇸,False,True,False,"I'm 18, I don't have my life together.",16-12-2013 13:27,0,1,inbetween,True
Al'〽️,Al_FSU,584.0,500.0,31370.0,en,   In A Different Space,False,True,False,"Good Brother, Troubled Heart 💔",13-01-2012 01:58,0,1,in a different space,False
Amy E Jackman,AlaskaAmy,128.0,114.0,3830.0,en,"Kenai, Alaska",False,True,False,All You Need to Start an Asylum is an Empty Room and the Right Kind of People,01-12-2009 20:54,0,1,"kenai, alaska",True
Alberto Desfassiaux,AlbertoDefa,3476.0,108.0,48875.0,en,,False,True,False,"Editor de @atomix. Videojuegos, cine y cómics.",02-03-2009 02:05,0,0,,
Bert,Albertopurple,218.0,240.0,19658.0,en,"Yuma, AZ",False,True,False,EVERYTHING IS A RACE,18-02-2013 22:36,0,1,"yuma, az",True
d e a d  b o i,Alec_Meadows,249.0,253.0,6451.0,en,,False,True,False,Usuario no entregó descripción de perfil,12-10-2013 13:29,0,0,,
SRK's Mexican Wife♥,AlekhandraKhan,4290.0,478.0,37874.0,es,Shah Rukh's dreams ,False,True,False,"My life in 3 words: Shah Rukh Khan, i am his Mexican wife & he knows it, he replied to me 5 times, i have tattooed Shah Rukh on my forearm!! ♥♥",13-02-2013 12:53,0,1,shah rukhs dreams,False
Александр Валеев,AleksandrValeev,893.0,256.0,17610.0,ru,Москва,False,False,False,Ведущий информационных программ на #вестифм #радиомаяк #новости #news #Russia #Россия,13-05-2012 12:11,0,1,,False
bev,AlexBevannn,341.0,172.0,8812.0,en,"somewhere, nowhere",False,True,False,Professional @NikeUK athlete,03-01-2012 18:25,0,1,"somewhere, nowhere",False
Alex,Alex_Senior1,795.0,603.0,7673.0,en,"Manchester, 19",False,True,False,SC- alex_senior,15-06-2011 21:32,0,1,"manchester,",True
AlexiaRenessa,AlexiaRenessa,220.0,329.0,9238.0,en,"Trinidad, the Caribbean",False,True,False,Attempting to Guide and Counsel (professionally) being a mermaid (unprofessionally),20-04-2012 16:54,0,1,"trinidad, the caribbean",False
Alexia 💖,AlexiaStaine,613.0,584.0,15734.0,en,"Keller, TX",False,False,False,RIDGENATION'17 💛 Alex 💜,13-05-2013 13:52,0,1,"keller, tx",True
lex,AlexisCarolineH,481.0,282.0,4364.0,en,Dixie,False,True,False,it's a charmed life | ΔΔΔ,10-01-2010 21:13,0,1,dixie,True
Alicia Cox-Hall,Alicia_CEO,782.0,2403.0,22747.0,en,"Memphis, TN",False,True,False,"I am a God-fearing woman, a wife, a mother of 2 beautiful children, CEO/Founder of GLHRF, a minister and an Avon & Iaso Representive.",23-06-2009 17:11,0,1,"memphis, tn",True
ali,Alivnna,580.0,350.0,20864.0,en,bay area,False,False,False,Usuario no entregó descripción de perfil,18-06-2014 05:42,0,1,bay area,True
☆Aliyah☆,Aliyah_Khan1,909.0,188.0,9416.0,en,Trinidad WI ♡,False,False,False,"☆Stay Classy, Never Trashy☆ Nature Lover | Do not underestimate the power of a dua |#PositiveVibesOnly #TheRoyals✌",02-07-2009 16:42,0,1,trinidad wi,True
Keni,AllMakEvrything,269.0,237.0,2285.0,en,,False,True,False,Figuring it out.,09-06-2013 13:33,0,0,,
Ally,AllyRamon_,375.0,337.0,4924.0,en,bay area,False,True,False,(◠‿◠✿),28-04-2013 16:44,0,1,bay area,True
Almina,Almina_AB,84.0,357.0,1711.0,sv,Sweden  Hbg ,False,True,False,Helsingborg Sweden,11-02-2012 20:20,0,1,sweden  hbg,True
Aloooo❁,Alondrasaurus,365.0,353.0,62695.0,en,A place called Texas,False,True,False,Chris Pratt is my honeybun. Dan Reynolds is real. #AdamDriverDefenseSquad #RaptorSquad,08-04-2011 01:11,0,1,a place called texas,False
Lonso⁶𓅓,AlonsoSanchezz,963.0,871.0,20392.0,en,Hidden Leaf ,False,True,False,Philippians 4:13. Okie. Technology Enthusiast. Hennessey ➡️ Stillwater,10-08-2009 22:22,0,1,hidden leaf,True
Alps Sarsis,Alps_Sarsis,141.0,261.0,2667.0,en,"Dallas, Texas... For now..",False,True,False,Just some fluff and stuff.,29-04-2010 16:56,0,1,"dallas, texas for now",False
مها عبدالوهاب,Alsagermaha,185.0,116.0,2777.0,en,,False,True,False,AFC❤,04-09-2013 03:40,0,0,,
casandra alvarez,AlvarezCasandra,689.0,446.0,27592.0,en,"Plainfield, IL",False,True,False,Usuario no entregó descripción de perfil,19-12-2011 14:47,0,1,"plainfield, il",True
Álvaro Gordo,AlvaroKrus,410.0,517.0,21476.0,en,"Chicago, IL",False,True,False,Adopted Chicagoan. Anglistik an der Universität Murcia. Angriff ist die beste Verteidigung.,31-08-2010 13:46,0,1,"chicago, il",True
Charlie,Alwayscharlie,1315.0,471.0,24643.0,en,Madrid,False,True,False,Loving what I do. Instagram alwayscharlie contact: alwayscharlieonline@gmail.com,18-04-2009 08:19,0,1,madrid,True
AlyssaEmeraldBlossom,Alyssawizard101,111.0,138.0,1079.0,en,,False,True,False,|14years| guy | doodler | expert food scientist | food expert|,21-12-2014 19:45,0,0,,
Three Mile Lyle,AlzadoKnows,672.0,844.0,2615.0,en,"Portland, OR",False,True,False,There is no fate but what we make for ourselves.,22-01-2011 01:48,0,1,"portland, or",True
Nathan Bayliss,Natobay,278.0,1319.0,1656.0,en,lost,False,True,False,Nathan Bayliss. Oh no! I just put myself in a box!,07-02-2009 09:44,0,1,lost,True
Amal Reynolds,Amal_Reynolds,2084.0,73.0,9.0,es,"Girona, Spain",False,True,False,"I need new haters, the old ones became my fans 📍Girona,Spain ✴17teen",17-02-2013 20:58,0,1,"girona, spain",True
Aman Gupta,MaahiKaPapa,807.0,240.0,21785.0,en,Mumbai - New Delhi,False,True,False,Full time husband Belongs to @nehagianani Founder of @engage_fit the employee engagement app,22-06-2009 18:04,0,1,mumbai  new delhi,True
Amanda Reynolds,AmandaGrace97,470.0,376.0,13860.0,en,,False,True,False,CLU '19,16-10-2011 14:40,0,0,,
amanda,amandaaalouisss,562.0,320.0,52275.0,en,,False,False,False,"every saint has a past, every sinner has a future.",26-01-2013 03:40,0,0,,
Jenn The Potato,AmazingRussett,2374.0,1101.0,27785.0,en,@ Dodger Stadium a lot,False,True,False,☻XI.XVI.XIV☻.|| Happy birthday baby doll :) I hope you had the most perfect day. - a.r.,12-03-2013 03:46,0,1,dodger stadium a lot,False
Àmbar,Ambre_Snk,538.0,269.0,24334.0,fr,France.,False,True,False,🗣UPTEMPO IS THE TEMPO📣,22-12-2013 16:53,0,1,france,True
Amit Agrawal,Amit25may,302.0,148.0,4697.0,en,Raipur,False,True,False,Enjoying Success Before 30. #Entrepreneur #Rumi #Tao #Osho #TheDalaiLama Follower. Optimist & a proud Indian.,14-12-2009 18:39,0,1,raipur,True
The Blonde Tonic,AmmeGrace,754.0,671.0,5943.0,en,British Virgin Islands,False,True,False,"British Blogger || Living In The Caribbean 🌴Advertising Fanatic & Lover of Coconuts, 80's Films, Whales & Jeff Bridges.",07-03-2010 18:10,0,1,british virgin islands,True
Amy Sullivan,AmyAhnSully,843.0,1415.0,16792.0,en,"Amarillo, TX",False,False,False,"News director for @ABCAmarillo, Emmy winner, mom, grandma, vet, Badger fan and lover of all things Chicago (except the White Sox).",04-03-2009 16:55,0,1,"amarillo, tx",True
Anafan2,Anafan2,630.0,334.0,32706.0,en,the old room,False,True,False,"Loca fan de la Tiuchis,OUAT fan.proud of being part of #theuglyducklings, #uglyducklingbookclub and @JMoFamily #captainswan shipper.",28-09-2011 21:46,0,1,the old room,True
Andrew Gorton WALB,AndrewGortonWx,2764.0,1561.0,6635.0,en,,False,True,True,"@WALBnews10 NBC/ABC Meteorologist. OU alumnus. MSU grad student. Lover of storms, not their destruction. Dallas sports. Opinions are my own.",18-02-2013 20:11,0,0,,
Andrew Andries,Andrew_Andries,107.0,261.0,98.0,en,"Los Angeles, CA",False,False,False,"Heey guys! I'm 15, I have 1.70m and the most important...I LOVE RAP and Rachel!",06-04-2015 13:40,0,1,"los angeles, ca",True
andy chatlani,AndyChatlani,26.0,126.0,183.0,es,,False,True,False,Usuario no entregó descripción de perfil,12-12-2011 11:08,0,0,,
Floyd,AngelBiedma,810.0,434.0,15304.0,es,Estigia,False,True,False,[⚒] Memento mori 🤘,07-03-2012 14:30,0,1,estigia,True
Mommy Badass,AngelOdom,570.0,380.0,6771.0,en,"MANSFIELD, TX",False,True,False,mommy to a princess 👑,19-01-2012 04:41,0,1,"mansfield, tx",True
Celestial Singer.,Angelkaye1983,389.0,588.0,8266.0,en,,False,True,False,singer/songwriter,30-06-2012 14:52,0,0,,
Gelo Carter,GeloCarter,2718.0,1777.0,45122.0,en,Fucking Universal,False,True,False,"Shimmy shimmy yay, shimmy yay, shimmy ya 💸🍾👌🏾",30-05-2010 02:05,0,1,fucking universal,False
Celay😎,AngelouSantos21,694.0,487.0,29126.0,en,bucu's property,False,True,False,alt tab • two meters • attitude,07-08-2012 06:44,0,1,bucus property,False
⭐️Arii⭐️,angieroquino,90.0,97.0,4548.0,en,High in the kitchen w/ my baby,False,True,False,"Our hearts get older, more broken, more sensitive and strong like silk, soft but strong enough not to rip apart.",26-01-2014 04:39,0,1,high in the kitchen w my baby,False
Inés 🔥,KeshaCabeYo,971.0,1127.0,12505.0,es,"Ciudad Real, Spain",False,False,False,I give 0 fucks.,30-12-2013 11:37,0,1,"ciudad real, spain",True
Anis,Anis_SGL,68.0,149.0,8667.0,en,Thailand,False,True,False,☆ どうしても触れたくない   ☆  ☆  ☆  ☆ ☆ ☆ 七夕ジャンクション,08-03-2014 04:34,0,1,thailand,True
Anja,AnjaSaade,1935.0,1369.0,30051.0,en,,False,False,False,"Always tell someone how you feel, because opportunities are lost in the blink of an eye, but regret can last a lifetime.",09-03-2012 12:31,0,0,,
skawngur✨,annmaynigo,431.0,231.0,8493.0,en,,False,True,False,남주혁💖,06-12-2014 08:48,0,0,,
Anna,AnnaAheli,1005.0,1991.0,15759.0,en,,False,True,False,I'm just a teenage dirtbag baby listen to iron maiden baby with me?,16-02-2011 03:14,0,0,,
Anna Miller,AnnaLMiller,572.0,1117.0,635.0,en,"Buffalo, NY",False,True,False,"Traveler, dreamer, activist and media maker. | Strategic comms @aidaorg. | Views are my own.",23-05-2009 01:57,0,1,"buffalo, ny",True
Annalise baby!,EyesGary,445.0,580.0,3726.0,en,grand rapids to da bay area,False,True,False,Usuario no entregó descripción de perfil,23-12-2014 20:29,0,1,grand rapids to da bay area,False
Anshuman,AnotherSRKian,10333.0,366.0,244372.0,en,"Cuttack, India",False,True,False,Usuario no entregó descripción de perfil,02-12-2013 04:43,0,1,"cuttack, india",True
Anupam Pandey,AnupamkPandey,25702.0,984.0,131384.0,en,,False,False,True,"[ IT-Analyst, @IEEEOrg Mentor, @NatGeo Member ] 
Blog : https://t.co/GA1LPAYXEC https://t.co/xakZZdnsPb @MyVaranasi",06-02-2012 06:17,0,0,,
Anuraag Kalluri,AnuraagKalluri,206.0,200.0,4088.0,en,"San Francisco, CA",False,True,False,Bawnjourno,17-09-2013 03:51,0,1,"san francisco, ca",True
Ara Sisakian,AraCekyan,93.0,70.0,7274.0,en,planet Earth,False,True,False,Greatness ain't about Cake,24-07-2009 04:27,0,1,planet earth,True
Araceli Hernandez,Araceli94999080,44.0,375.0,1087.0,en,california,False,True,False,Usuario no entregó descripción de perfil,23-09-2013 17:46,0,1,california,True
Arielle Du Quesnay,AriDQ,360.0,273.0,6343.0,en,Trinidad ,False,True,False,Bleh,21-07-2009 04:24,0,1,trinidad,True
Ariana Reweti,ArianaReweti,77.0,728.0,1280.0,en,,False,True,False,Usuario no entregó descripción de perfil,20-04-2015 07:28,0,0,,
Ariane Tan,ArianeTan,458.0,394.0,10263.0,en,☆★☆,False,True,False,superwoman in the making ✌,31-01-2010 12:15,0,1,,False
Armand Vervaeck,ArmandVervaeck,7021.0,5840.0,111186.0,en,Mechelen Belgium,False,True,False,Aardbevingsspecialist - Grootste ngo-website aardbevingen ter wereld - Mechelaar - KVM - Wereldreiziger - selectie wereldpers - Foto: Noord-Korea (eigen foto),07-10-2012 11:06,0,1,mechelen belgium,True
Armuño [FOR RENT],Armunho,2661.0,368.0,234442.0,es,Santiago de Compostela,False,True,False,Me visibilizo como neogüelfo.,28-12-2010 01:32,0,1,santiago de compostela,True
Arrah Camillia,ArrahQ,168.0,154.0,1460.0,en,"Cebu City, Philippines",False,True,False,"reader/writer, sleeper/dreamer, an emotional girl who tries to be logical much to her own detriment.",28-10-2010 05:07,0,1,"cebu city, philippines",True
Artur Monakhov,ArthurKassel,78.0,195.0,952.0,ru,"Sparta,Greece",False,True,False,Usuario no entregó descripción de perfil,23-12-2010 15:34,0,1,"sparta,greece",True
alexandria,Artsy_princess,727.0,534.0,11525.0,en,,False,True,False,Hotty Toddy | ΑΟΠ,25-07-2011 04:09,0,0,,
Arun Yadav MUFC,Aru_MUFC,716.0,231.0,67544.0,en,"New Delhi, Rajasthan, India",False,True,False,"Branch Manager- TataSky DTH!
Massive Fan of #MUFC #NaMo #IPL #RCB #MSD #ViratKohli #Eminem #Pitbull #SHM #Avici #Zaltan #Rooney #CR7 #Traveler.
FB:arumufc",23-04-2010 11:51,0,1,"new delhi, rajasthan, india",False
™,_marclemore_,465.0,324.0,16400.0,en,new york,False,True,False,I like strawberries,08-08-2012 17:47,0,1,new york,True
Ash.,AshGoesDeep,343.0,301.0,52264.0,en,"Rohnert Park, CA",False,True,False,Sonoma State Buisness Finance. The man who always gets the AUX chord. Probably getting a lift in somewhere. Netflix geek. Jerseyboy at heart. #Colombard,24-06-2013 23:21,0,1,"rohnert park, ca",True
Ashley Fuller,Ashfullanne,118.0,186.0,505.0,en,,False,True,False,Let go and let God,11-06-2013 17:03,0,0,,
Ashley Strasburg,Ashleystrasburg,154.0,256.0,356.0,en,"Bay Area, CA",False,True,False,Usuario no entregó descripción de perfil,02-03-2010 18:16,0,1,"bay area, ca",True
Ashleywingender,Ashleywingender,376.0,1003.0,8671.0,en,"Stillwater, OK",False,False,False,love my family and friends. I bleed Orange...#livinloud.,05-09-2011 04:17,0,1,"stillwater, ok",True
Ashton .,AshtonAlford23,611.0,300.0,3015.0,en,,False,True,False,"Keep your mouth closed , and let your eyes listen . Blessed . Instagram - AshtonAlford . Snapchat - Ashton93.",07-02-2012 04:27,0,0,,
